ANNO,MES,ENERGIA_GENERADA,ENERGIA_DEPOSITADA,ENERGIA_RETIRADA,IMPORTE_POR_ENERGIA_RETIRADA,EMPRESA,CODIGO_TARIFA,CODIGO_TARIFA1,TOTAL_CONSUMO_KWH,TOTAL_IMPORTE_ENE,Suma de DISTRITO,Recuento de DISTRITO,Provincia1,CONSUMO_NATURAL,SECTOR,Data_Check
2018,7,919,84,84,2249,ICE,4,Comercios y servicios monómica,2201,255866,11901,1,San José,3120,Servicios,TRUE
2018,8,1031,135,135,3761,ICE,4,Comercios y servicios monómica,2270,263706,11901,1,San José,3301,Servicios,TRUE
2018,9,923,141,141,3928,ICE,4,Comercios y servicios monómica,2035,236406,11901,1,San José,2958,Servicios,TRUE
2018,10,865,130,130,3622,ICE,4,Comercios y servicios monómica,2218,254782,11901,1,San José,3083,Servicios,TRUE
2018,1,219,69,69,1874,ICE,4,Comercios y servicios monómica,693,80892,20507,1,Alajuela,912,Servicios,TRUE
2018,2,430,190,190,5293,ICE,4,Comercios y servicios monómica,340,39314,20507,1,Alajuela,770,Servicios,TRUE
2018,3,427,171,171,4764,ICE,4,Comercios y servicios monómica,405,46830,20507,1,Alajuela,832,Servicios,TRUE
2018,6,371,146,146,4068,ICE,4,Comercios y servicios monómica,536,62589,20307,1,Alajuela,907,Servicios,TRUE
2018,7,346,158,158,4230,ICE,4,Comercios y servicios monómica,206,24009,20507,1,Alajuela,552,Servicios,TRUE
2018,8,333,128,128,3566,ICE,4,Comercios y servicios monómica,287,33341,20507,1,Alajuela,620,Servicios,TRUE
2018,9,320,139,139,3873,ICE,4,Comercios y servicios monómica,233,27068,20507,1,Alajuela,553,Servicios,TRUE
2018,10,257,117,117,3260,ICE,4,Comercios y servicios monómica,292,33761,20507,1,Alajuela,549,Servicios,TRUE
2018,1,165,91,81,2242,ICE,1,Residencial,130,10006,11901,1,San José,285,Residencial,TRUE
2018,2,201,134,98,2730,ICE,1,Residencial,183,14053,11901,1,San José,348,Residencial,TRUE
2018,3,215,158,106,2953,ICE,1,Residencial,60,4607,11901,1,San José,223,Residencial,TRUE
2018,4,224,143,109,3037,ICE,1,Residencial,103,7974,11901,1,San José,293,Residencial,TRUE
2018,5,184,118,90,2507,ICE,1,Residencial,94,7289,11901,1,San José,250,Residencial,TRUE
2018,7,183,116,90,2409,ICE,1,Residencial,98,7565,11901,1,San José,255,Residencial,TRUE
2018,8,174,120,85,2368,ICE,1,Residencial,163,12574,11901,1,San José,302,Residencial,TRUE
2018,9,186,127,91,2535,ICE,1,Residencial,102,7868,11901,1,San José,252,Residencial,TRUE
2018,10,176,121,86,2396,ICE,1,Residencial,145,11060,11901,1,San José,286,Residencial,TRUE
2018,1,465,85,85,2323,ICE,1,Residencial,397,42919,20904,1,Alajuela,862,Residencial,TRUE
2018,2,573,111,111,3092,ICE,1,Residencial,457,50922,20904,1,Alajuela,1030,Residencial,TRUE
2018,3,548,109,109,3037,ICE,1,Residencial,388,41373,20904,1,Alajuela,936,Residencial,TRUE
2018,6,417,39,39,1087,ICE,1,Residencial,282,26967,11902,1,San José,699,Residencial,TRUE
2018,7,251,24,24,642,ICE,1,Residencial,558,65355,20904,1,Alajuela,809,Residencial,TRUE
2018,8,0,0,0,0,ICE,1,Residencial,742,90777,20904,1,Alajuela,742,Residencial,FALSE
2018,9,0,0,0,0,ICE,1,Residencial,735,89804,20904,1,Alajuela,735,Residencial,FALSE
2018,10,0,0,0,0,ICE,1,Residencial,724,87665,20904,1,Alajuela,724,Residencial,FALSE
2018,1,458,183,213,5860,ICE,1,Residencial,398,42958,61102,1,Puntarenas,886,Residencial,TRUE
2018,2,546,291,279,7773,ICE,1,Residencial,163,12517,61102,1,Puntarenas,697,Residencial,TRUE
2018,3,583,310,286,7968,ICE,1,Residencial,58,4454,61102,1,Puntarenas,617,Residencial,TRUE
2018,4,594,222,258,7188,ICE,1,Residencial,443,49310,61102,1,Puntarenas,1073,Residencial,TRUE
2018,5,423,427,206,5739,ICE,1,Residencial,0,3102,61102,1,Puntarenas,202,Residencial,FALSE
2018,6,434,206,239,6659,ICE,1,Residencial,184,14267,21304,1,Alajuela,651,Residencial,TRUE
2018,7,421,180,180,4819,ICE,1,Residencial,197,15220,61102,1,Puntarenas,618,Residencial,TRUE
2018,8,373,181,181,5043,ICE,1,Residencial,99,7637,61102,1,Puntarenas,472,Residencial,TRUE
2018,9,398,184,184,5126,ICE,1,Residencial,57,4397,61102,1,Puntarenas,455,Residencial,TRUE
2018,10,386,173,173,4820,ICE,1,Residencial,133,10167,61102,1,Puntarenas,519,Residencial,TRUE
2018,1,122,15,15,413,ICE,1,Residencial,969,122345,20113,1,Alajuela,1091,Residencial,TRUE
2018,2,115,15,15,418,ICE,1,Residencial,1124,143221,20113,1,Alajuela,1239,Residencial,TRUE
2018,3,149,51,51,1421,ICE,1,Residencial,846,104751,20113,1,Alajuela,995,Residencial,TRUE
2018,4,413,183,183,5098,ICE,1,Residencial,772,95140,20113,1,Alajuela,1185,Residencial,TRUE
2018,5,309,147,147,4095,ICE,1,Residencial,561,65954,20113,1,Alajuela,870,Residencial,TRUE
2018,6,311,132,132,3678,ICE,1,Residencial,118,9150,20111,1,Alajuela,429,Residencial,TRUE
2018,7,286,84,84,2249,ICE,1,Residencial,739,90500,20113,1,Alajuela,1025,Residencial,TRUE
